Temps(s);Force(kN);Contrainte(Mpa);Ouverture vanne (%);Consigne.Consigne;Consigne.Vitesse
74,622315;514,2076684;51,45534192;16,99050055;514,9102502;5,99596834
74,82236;515,4548986;51,58014879;17,02726115;516,1096598;5,99596834
75,022258;516,5554596;51,69027889;17,06400182;517,3089554;5,99596834
75,222252;517,770394;51,81185403;17,100908;518,508185;5,99596834
75,422252;518,8230558;51,91719098;17,13780184;519,7073727;5,99596834
75,622345;520,2858468;52,06356844;17,17471222;520,9064284;5,99596834
75,822356;521,4800921;52,18307327;17,21115919;522,1055562;5,99596834
76,022327;522,51993;52,28712698;17,24797495;523,3046719;5,99596834
76,22235;523,8777597;52,42300125;17,28452058;524,5038236;5,99596834
76,42416;524,4722611;52,48249137;17,321098;525,7162803;5,99596834
76,62232;526,032043;52,63857443;17,35787325;526,902115;5,99596834
76,822368;527,228646;52,7583152;17,39481144;528,1014885;5,99596834
77,022365;528,6824553;52,90379388;17,43176281;529,3007781;5,99596834
77,2223;529,9185158;53,02748304;17,46819749;530,499678;5,99596834
77,422347;531,1697045;53,15268604;17,50468162;531,6991475;5,99596834
77,622358;532,3053653;53,26632848;17,5409514;532,8984131;5,99596834
77,822257;533,5441086;53,3902861;17,57714987;534,0976367;5,99596834
78,022302;534,7846127;53,51441992;17,61313396;535,2963807;5,99596834
78,222332;535,6398562;53,60000178;17,64907598;536,4958682;5,99596834
78,422313;537,0259179;53,73870115;17,68568314;537,694792;5,99596834
78,622289;538,2433717;53,86052839;17,72216528;538,8938838;5,99596834
78,822321;539,5506551;53,99134463;17,758535;540,0933592;5,99596834
79,02234;540,8233021;54,1186949;17,79476063;541,2925169;5,99596834
79,222299;542,12621;54,2490733;17,83081104;542,4916027;5,99596834
79,422357;543,2986161;54,36639274;17,86669255;543,6911381;5,99596834
79,622272;544,3867914;54,47528344;17,902632;544,8905117;5,99596834
79,822319;545,7844634;54,61514462;17,93849594;546,0892257;5,99596834
80,02229;546,8008145;54,71684807;17,9743506;547,2883114;5,99596834
80,222303;548,2560355;54,86246802;18,00945555;548,4880927;5,99596834
80,427311;549,5217512;54,98912469;18,04474149;549,6871484;5,99596834
80,627368;550,7258657;55,1096171;18,0800974;550,8862462;5,99596834
80,827352;551,8491349;55,22201955;18,11524704;552,0853739;5,99596834
81,027947;553,0458965;55,34177619;18,15051124;553,2848314;5,99596834
81,227307;554,3785234;55,47512848;18,1858771;554,4836593;5,99596834
81,42733;555,7609843;55,61346753;18,22097517;555,6830688;5,99596834
81,627455;557,0084623;55,7382992;18,25538347;556,8819927;5,99596834
81,827314;558,5648272;55,89404034;18,28922438;558,081648;5,99596834
82,027337;560,1683069;56,05449614;18,32193349;559,2804519;5,99596834
82,227319;561,7562372;56,21339594;18,35387938;560,4797176;5,99596834
82,42737;563,5895846;56,39685394;18,38410217;561,6791451;5,99596834
82,62734;565,3864803;56,57666433;18,41245527;562,877997;5,99596834
82,827274;566,6078846;56,6988869;18,4397902;564,0776283;5,99596834
83,027299;568,1560451;56,85380704;18,46658866;565,27678;5,99596834
83,232546;569,3257291;56,9708541;18,49275445;566,4832588;5,99596834
83,432322;569,8007036;57,01838348;18,51925816;567,7347253;5,99596834
83,632305;570,9889202;57,13728504;18,54762506;568,933877;5,99596834
83,832373;572,2170668;57,26018227;18,57740219;570,1329987;5,99596834
84,032281;573,159125;57,35445144;18,60601704;571,3320605;5,99596834
84,232286;573,9721221;57,43580582;18,63519865;572,5313261;5,99596834
84,433804;574,5511684;57,49374938;18,66530959;573,7309395;5,99596834
84,636421;575,7313109;57,61184298;18,69559056;574,8698137;5,99596834
84,832344;576,5257157;57,69133687;18,7288305;576,1289251;5,99596834
85,038705;577,376394;57,7764619;18,76234545;577,3285805;5,99596834
85,23734;578,1894145;57,85781862;18,7973387;578,5278101;5,99596834
85,437265;579,3689991;57,97585639;18,83323089;579,726674;5,99596834
85,637305;580,3745218;58,07647627;18,86912063;580,9262994;5,99596834
85,83729;581,5571159;58,19481521;18,90554465;582,1249414;5,99596834
86,037254;582,8943363;58,32862716;18,94188211;583,3244229;5,99596834
86,237267;584,2970695;58,4689948;18,97692063;584,5238024;5,99596834
86,437283;584,9448911;58,53382052;19,01271476;585,7228402;5,99596834
86,637365;586,4066132;58,68009101;19,04958739;586,9219379;5,99596834
86,837299;587,3860981;58,77810536;19,08610676;588,1212275;5,99596834
87,037354;588,1448528;58,85403185;19,12330962;589,3205471;5,99596834
